n,k,graph_seed,pop,run,budget_s,record
2000,8,7,1024,2,0.5,708114
2000,8,7,1024,2,1,707495
2000,8,7,1024,2,2,707165
2000,8,7,1024,2,5,706595
2000,8,7,1024,2,10,706470
2000,8,7,1024,2,20,706249
2000,8,7,1024,2,30,706203
2000,8,7,1024,3,0.25,708671
2000,8,7,1024,3,0.5,707979
2000,8,7,1024,3,1,707428
2000,8,7,1024,3,2,706960
2000,8,7,1024,3,5,706720
2000,8,7,1024,3,10,706508
2000,8,7,1024,3,20,706332
2000,8,7,1024,3,30,706268
2000,8,7,128,1,0.25,707333
2000,8,7,128,1,0.5,706967
2000,8,7,128,1,1,706833
2000,8,7,128,1,2,706639
2000,8,7,128,1,5,706606
2000,8,7,128,1,10,706590
2000,8,7,128,1,20,706546
2000,8,7,128,1,30,706545
2000,8,7,128,2,0.25,707216
2000,8,7,128,2,0.5,706865
2000,8,7,128,2,1,706713
2000,8,7,128,2,2,706643
2000,8,7,128,2,5,706553
2000,8,7,128,2,10,706511
2000,8,7,128,2,20,706317
2000,8,7,128,2,30,706317
2000,8,7,128,3,0.25,707209
2000,8,7,128,3,0.5,706954
2000,8,7,128,3,1,706683
2000,8,7,128,3,2,706618
2000,8,7,128,3,5,706388
2000,8,7,128,3,10,706384
2000,8,7,128,3,20,706384
2000,8,7,128,3,30,706384
2000,8,7,2048,1,0.25,709244
2000,8,7,2048,1,0.5,708662
2000,8,7,2048,1,1,708013
2000,8,7,2048,1,2,707412
2000,8,7,2048,1,5,706827
2000,8,7,2048,1,10,706560
2000,8,7,2048,1,20,706455
2000,8,7,2048,1,30,706429
2000,8,7,2048,2,0.25,709379
2000,8,7,2048,2,0.5,708677
2000,8,7,2048,2,1,707927
2000,8,7,2048,2,2,707365
2000,8,7,2048,2,5,706867
2000,8,7,2048,2,10,706705
2000,8,7,2048,2,20,706532
2000,8,7,2048,2,30,706493
2000,8,7,2048,3,0.25,709422
2000,8,7,2048,3,0.5,708545
2000,8,7,2048,3,1,708016
2000,8,7,2048,3,2,707391
2000,8,7,2048,3,5,706913
2000,8,7,2048,3,10,706689
2000,8,7,2048,3,20,706571
2000,8,7,2048,3,30,706562
2000,8,7,256,1,0.25,707474
2000,8,7,256,1,0.5,706943
2000,8,7,256,1,1,706699
2000,8,7,256,1,2,706481
2000,8,7,256,1,5,706410
2000,8,7,256,1,10,706351
2000,8,7,256,1,20,706350
2000,8,7,256,1,30,706346
2000,8,7,256,2,0.25,707333
2000,8,7,256,2,0.5,707009
2000,8,7,256,2,1,706734
2000,8,7,256,2,2,706634
2000,8,7,256,2,5,706503
2000,8,7,256,2,10,706468
2000,8,7,256,2,20,706432
2000,8,7,256,2,30,706432
2000,8,7,256,3,0.25,707586
2000,8,7,256,3,0.5,707282
2000,8,7,256,3,1,706887
2000,8,7,256,3,2,706639
2000,8,7,256,3,5,706573
2000,8,7,256,3,10,706527
2000,8,7,256,3,20,706510
2000,8,7,256,3,30,706510
2000,8,7,4096,1,0.25,
2000,8,7,4096,1,0.5,709244
2000,8,7,4096,1,1,708471
2000,8,7,4096,1,2,707882
2000,8,7,4096,1,5,707273
2000,8,7,4096,1,10,706792
2000,8,7,4096,1,20,706455
2000,8,7,4096,1,30,706441
2000,8,7,4096,2,0.25,
2000,8,7,4096,2,0.5,709421
2000,8,7,4096,2,1,708652
2000,8,7,4096,2,2,707935
2000,8,7,4096,2,5,707279
2000,8,7,4096,2,10,706919
2000,8,7,4096,2,20,706565
2000,8,7,4096,2,30,706537
2000,8,7,4096,3,0.25,
2000,8,7,4096,3,0.5,709275
2000,8,7,4096,3,1,708601
2000,8,7,4096,3,2,707971
2000,8,7,4096,3,5,707305
2000,8,7,4096,3,10,706967
2000,8,7,4096,3,20,706652
2000,8,7,4096,3,30,706585
2000,8,7,512,1,0.25,707847
2000,8,7,512,1,0.5,707570
2000,8,7,512,1,1,707131
2000,8,7,512,1,2,706834
2000,8,7,512,1,5,706709
2000,8,7,512,1,10,706709
2000,8,7,512,1,20,706709
2000,8,7,512,1,30,706709
2000,8,7,512,2,0.25,707988
2000,8,7,512,2,0.5,707430
2000,8,7,512,2,1,707036
2000,8,7,512,2,2,706689
2000,8,7,512,2,5,706492
2000,8,7,512,2,10,706363
2000,8,7,512,2,20,706350
2000,8,7,512,2,30,706350
2000,8,7,512,3,0.25,708028
2000,8,7,512,3,0.5,707469
2000,8,7,512,3,1,707180
2000,8,7,512,3,2,706945
2000,8,7,512,3,5,706627
2000,8,7,512,3,10,706479
2000,8,7,512,3,20,706444
2000,8,7,512,3,30,706423
2000,8,7,64,1,0.25,707131
2000,8,7,64,1,0.5,706983
2000,8,7,64,1,1,706959
2000,8,7,64,1,2,706806
2000,8,7,64,1,5,706799
2000,8,7,64,1,10,706616
2000,8,7,64,1,20,706308
2000,8,7,64,1,30,706203
2000,8,7,64,2,0.25,706949
2000,8,7,64,2,0.5,706878
2000,8,7,64,2,1,706608
2000,8,7,64,2,2,706607
2000,8,7,64,2,5,706597
2000,8,7,64,2,10,706558
2000,8,7,64,2,20,706360
2000,8,7,64,2,30,706360
2000,8,7,64,3,0.25,707195
2000,8,7,64,3,0.5,707025
2000,8,7,64,3,1,706675
2000,8,7,64,3,2,706536
